"","Species_Jetz","Species_eBird","Species_BirdLife","Family_eBird","CommonName_eBird","aveUAI","SciName_MUTI","MUTIscore","SciName_UN","Urban","Family_Sci","Family_English","Coastal","Notes","Mass","Mass_log","Parasite","Mound","NestSite_ground","NestSite_tree","NestSite_nontree","NestSite_cliff_bank","NestSite_underground","NestSite_waterbody","NestSite_termite_ant","NestStr_scrape","NestStr_platform","NestStr_cup","NestStr_dome","NestStr_dome_tunnel","NestStr_primary_cavity","NestStr_second_cavity","NestStr_Open","NestStr_Enclosed","OpenAndEnclosed"
"1","Dendrocygna autumnalis","Dendrocygna autumnalis","Dendrocygna autumnalis","Anatidae (Ducks, Geese, and Waterfowl)","Black-bellied Whistling-Duck",1.81844447970588,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes","",755.3,6.6271150213194,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,"both"
"2","Dendrocygna arborea","Dendrocygna arborea","Dendrocygna arborea","Anatidae (Ducks, Geese, and Waterfowl)","West Indian Whistling-Duck",2.525220171,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes","",1150,7.0475172213573,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,"both"
"3","Dendrocygna bicolor","Dendrocygna bicolor","Dendrocygna bicolor","Anatidae (Ducks, Geese, and Waterfowl)","Fulvous Whistling-Duck",1.7588630859,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes","",756.4,6.6285703367843,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,"both"
"4","Dendrocygna javanica","Dendrocygna javanica","Dendrocygna javanica","Anatidae (Ducks, Geese, and Waterfowl)","Lesser Whistling-Duck",1.37270642608333,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes","",519.6,6.25305928479644,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,"both"
"5","Chloephaga melanoptera","Oressochen melanopterus","Chloephaga melanoptera","Anatidae (Ducks, Geese, and Waterfowl)","Andean Goose",0.246674384333333,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes","",2037,7.6192334162268,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,"both"
"6","Alopochen aegyptiaca","Alopochen aegyptiaca","Alopochen aegyptiaca","Anatidae (Ducks, Geese, and Waterfowl)","Egyptian Goose",1.93030523564286,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes","",1873,7.53529670244409,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,"both"
"7","Tadorna tadornoides","Tadorna tadornoides","Tadorna tadornoides","Anatidae (Ducks, Geese, and Waterfowl)","Australian Shelduck",1.003822003,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes","",1418.7,7.25749623831794,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,"both"
"8","Tadorna tadorna","Tadorna tadorna","Tadorna tadorna","Anatidae (Ducks, Geese, and Waterfowl)","Common Shelduck",1.478695685625,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes","",1146.8,7.04473073400921,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,"both"
"9","Plectropterus gambensis","Plectropterus gambensis","Plectropterus gambensis","Anatidae (Ducks, Geese, and Waterfowl)","Spur-winged Goose",1.2936812125,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes","",3869,8.26075135470051,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,"both"
"10","Cairina moschata","Cairina moschata","Cairina moschata","Anatidae (Ducks, Geese, and Waterfowl)","Muscovy Duck",1.54239651525,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes","",2415.8,7.78978577417118,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,"both"
"11","Aix galericulata","Aix galericulata","Aix galericulata","Anatidae (Ducks, Geese, and Waterfowl)","Mandarin Duck",2.59087557418182,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes","",567,6.34035930372775,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,"both"
"12","Anas platyrhynchos","Anas platyrhynchos","Anas platyrhynchos","Anatidae (Ducks, Geese, and Waterfowl)","Mallard",2.02728985370968,"Anas platyrhynchos",1.830146203,"Anas platyrhynchos","U","Anatidae","(Ducks, Geese, and Waterfowl)","Yes","",843.4,6.73744134131246,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,"both"
"13","Anas rubripes","Anas rubripes","Anas rubripes","Anatidae (Ducks, Geese, and Waterfowl)","American Black Duck",2.08335016022222,"Anas rubripes",0.251627341,"Anas rubripes","N","Anatidae","(Ducks, Geese, and Waterfowl)","Yes","",1241,7.12367278520461,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,"both"
"14","Anas fulvigula","Anas fulvigula","Anas fulvigula","Anatidae (Ducks, Geese, and Waterfowl)","Mottled Duck",1.580106454,"Anas fulvigula",1.471974087,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes","",843.4,6.73744134131246,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,"both"
"15","Anas gracilis","Anas gracilis","Anas gracilis","Anatidae (Ducks, Geese, and Waterfowl)","Gray Teal",1.2110739561,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes","",488.1,6.1905203028931,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,"both"
"16","Malacorhynchus membranaceus","Malacorhynchus membranaceus","Malacorhynchus membranaceus","Anatidae (Ducks, Geese, and Waterfowl)","Pink-eared Duck",1.28954163366667,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes","",372.8,5.92104208281144,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,"both"
"17","Histrionicus histrionicus","Histrionicus histrionicus","Histrionicus histrionicus","Anatidae (Ducks, Geese, and Waterfowl)","Harlequin Duck",2.031957704375,"Histrionicus histrionicus",-1.743704621,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes","",561.6,6.3307898527116,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,"both"
"18","Clangula hyemalis","Clangula hyemalis","Clangula hyemalis","Anatidae (Ducks, Geese, and Waterfowl)","Long-tailed Duck",1.79547649978571,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes","",871,6.7696419768525,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,"both"
"19","Bucephala islandica","Bucephala islandica","Bucephala islandica","Anatidae (Ducks, Geese, and Waterfowl)","Barrow's Goldeneye",1.9536870123,"Bucephala islandica",-1.280978441,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes","",921.2,6.82567716794653,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,"both"
"20","Mergus merganser","Mergus merganser","Mergus merganser","Anatidae (Ducks, Geese, and Waterfowl)","Common Merganser",1.79651855634375,"Mergus merganser",0.08949905,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes","",1451,7.28000825288419,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,"both"
"21","Gallirallus australis","Gallirallus australis","Gallirallus australis","Rallidae (Rails, Gallinules, and Coots)","Weka",0.110806108,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water ",875.7,6.77502356652818,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,"both"
"22","Gallirallus philippensis","Gallirallus philippensis","Hypotaenidia philippensis","Rallidae (Rails, Gallinules, and Coots)","Buff-banded Rail",1.68081866975,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water ",205.9,5.32739061403374,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,"both"
"23","Gallinula mortierii","Tribonyx mortierii","Tribonyx mortierii","Rallidae (Rails, Gallinules, and Coots)","Tasmanian Nativehen",0.661412864,NA,NA,"Gallinula mortierii","N","Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water ",1291.8,7.16379187359837,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,"both"
"24","Porzana fluminea","Porzana fluminea","Porzana fluminea","Rallidae (Rails, Gallinules, and Coots)","Australian Crake",1.50567092166667,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","Yes","coastal marshes or water ",60.8,4.10758978897212,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,1,"both"
"25","Tringa ochropus","Tringa ochropus","Tringa ochropus","Scolopacidae (Sandpipers and Allies)","Green Sandpiper",1.4694075828125,NA,NA,NA,NA,"Scolopacidae","(Sandpipers and Allies)","Yes","",71.4,4.26829786934554,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,"both"
"26","Tringa solitaria","Tringa solitaria","Tringa solitaria","Scolopacidae (Sandpipers and Allies)","Solitary Sandpiper",1.92954615924242,NA,NA,NA,NA,"Scolopacidae","(Sandpipers and Allies)","Yes","",48.4,3.87949981372259,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,"both"
"27","Uria aalge","Uria aalge","Uria aalge","Alcidae (Auks, Murres, and Puffins)","Common Murre",1.35539292516667,NA,NA,NA,NA,"Alcidae","(Auks, Murres, and Puffins)","Yes","",991.9,6.89962229575195,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,"both"
"28","Alca torda","Alca torda","Alca torda","Alcidae (Auks, Murres, and Puffins)","Razorbill",1.46031607166667,NA,NA,NA,NA,"Alcidae","(Auks, Murres, and Puffins)","Yes","",726,6.5875500148248,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,"both"
"29","Gygis alba","Gygis alba","Gygis alba","Laridae (Gulls, Terns, and Skimmers)","White Tern",2.724753083,NA,NA,NA,NA,"Laridae","(Gulls, Terns, and Skimmers)","Yes","",117,4.76217393479776,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,"both"
"30","Sterna anaethetus","Onychoprion anaethetus","Onychoprion anaethetus","Laridae (Gulls, Terns, and Skimmers)","Bridled Tern",0.485866756,NA,NA,NA,NA,"Laridae","(Gulls, Terns, and Skimmers)","Yes","",119.4,4.7824792009585,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,"both"
"31","Larosterna inca","Larosterna inca","Larosterna inca","Laridae (Gulls, Terns, and Skimmers)","Inca Tern",2.71052745,NA,NA,NA,NA,"Laridae","(Gulls, Terns, and Skimmers)","Yes","",219,5.3890717298165,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,"both"
"32","Spheniscus demersus","Spheniscus demersus","Spheniscus demersus","Spheniscidae (Penguins)","African Penguin",1.482080667,NA,NA,NA,NA,"Spheniscidae","(Penguins)","Yes","",3130.1,8.04882023190563,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,"both"
"33","Spheniscus magellanicus","Spheniscus magellanicus","Spheniscus magellanicus","Spheniscidae (Penguins)","Magellanic Penguin",0.3921527535,NA,NA,NA,NA,"Spheniscidae","(Penguins)","Yes","",4105.1,8.31998538212575,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,"both"
"34","Phalacrocorax aristotelis","Gulosus aristotelis","Gulosus aristotelis","Phalacrocoracidae (Cormorants and Shags)","European Shag",1.795368511625,NA,NA,NA,NA,"Phalacrocoracidae","(Cormorants and Shags)","Yes","",1764.3,7.47550929013402,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,"both"
"35","Phaps elegans","Phaps elegans","Phaps elegans","Columbidae (Pigeons and Doves)","Brush Bronzewing",0.3178549385,NA,NA,"Phaps elegans","N","Columbidae","(Pigeons and Doves)","Yes","coastal heathlands ",211.4,5.35375207343614,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,"both"
"36","Empidonax difficilis","Empidonax difficilis","Empidonax difficilis","Tyrannidae (Tyrant Flycatchers)","Pacific-slope Flycatcher",1.26545196483333,"Empidonax difficilis",0.804310633,NA,NA,"Tyrannidae","(Tyrant Flycatchers)","Yes","coastal scrub",10.7,2.37024374146786,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,"both"
"37","Philesturnus carunculatus","Philesturnus rufusater","Philesturnus rufusater","Callaeidae (Wattlebirds)","North Island Saddleback",0.024779848,NA,NA,NA,NA,"Callaeidae","(Wattlebirds)","Yes","restricted to coastal forests",74.7,4.31348009213877,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,"both"
"38","Delichon dasypus","Delichon dasypus","Delichon dasypus","Hirundinidae (Swallows)","Asian House-Martin",1.5853570675,NA,NA,NA,NA,"Hirundinidae","(Swallows)","Yes","sea coasts  ",18,2.89037175789616,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,"both"
"39","Erythropygia coryphaeus","Cercotrichas coryphoeus","Tychaedon coryphoeus","Muscicapidae (Old World Flycatchers)","Karoo Scrub-Robin",0.488238414,NA,NA,NA,NA,"Muscicapidae","(Old World Flycatchers)","Yes","coastal scrub and sandy beaches",20.4,3.01553490085017,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,"both"
"40","Cossypha caffra","Cossypha caffra","Dessonornis caffer","Muscicapidae (Old World Flycatchers)","Cape Robin-Chat",1.79062405425,NA,NA,NA,NA,"Muscicapidae","(Old World Flycatchers)","Yes","forages in intertidal zone",28.5,3.3499040872746,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,"both"
"41","Ammodramus maritimus","Ammospiza maritima","Ammospiza maritima","Passerellidae (New World Sparrows)","Seaside Sparrow",1.20744499875,"Ammospiza maritima",-1.372249983,NA,NA,"Passerellidae","(New World Sparrows)","Yes","tidal marshes",22.2,3.10009228887823,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,"both"
"42","Seiurus motacilla","Parkesia motacilla","Parkesia motacilla","Parulidae (New World Warblers)","Louisiana Waterthrush",1.3181297270625,"Parkesia motacilla",-0.723023471,NA,NA,"Parulidae","(New World Warblers)","Yes","coastal mangroves sometimes",19.9,2.99071973173045,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,"both"
"43","Seiurus noveboracensis","Parkesia noveboracensis","Parkesia noveboracensis","Parulidae (New World Warblers)","Northern Waterthrush",1.78984728764516,"Parkesia noveboracensis",-1.057137237,NA,NA,"Parulidae","(New World Warblers)","Yes","mangroves and coastal scrub",16.3,2.79116510781272,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,"both"
"44","Gymnogyps californianus","Gymnogyps californianus","Gymnogyps californianus","Cathartidae (New World Vultures)","California Condor",NA,"Gymnogyps californianus",-2.012193751,NA,NA,"Cathartidae","(New World Vultures)","Yes","beaches",8442.7,9.04105744164451,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,"both"
"45","Sarcoramphus papa","Sarcoramphus papa","Sarcoramphus papa","Cathartidae (New World Vultures)","King Vulture",0.2157172885,NA,NA,NA,NA,"Cathartidae","(New World Vultures)","Yes","coastal grassland",3400,8.13153071060425,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,"both"
"46","Cathartes aura","Cathartes aura","Cathartes aura","Cathartidae (New World Vultures)","Turkey Vulture",1.40565815895,"Cathartes aura",0.911774813,NA,NA,"Cathartidae","(New World Vultures)","Yes","shorelines",1518.2,7.32528070158267,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,"both"
"47","Cathartes burrovianus","Cathartes burrovianus","Cathartes burrovianus","Cathartidae (New World Vultures)","Lesser Yellow-headed Vulture",1.85522517255556,NA,NA,NA,NA,"Cathartidae","(New World Vultures)","Yes","mangroves",935,6.84054652928869,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,"both"
"48","Thinornis novaeseelandiae","Thinornis novaeseelandiae","Thinornis novaeseelandiae","Charadriidae (Plovers and Lapwings)","Shore Plover",0.088743361,NA,NA,NA,NA,"Charadriidae","(Plovers and Lapwings)","Yes","beaches",61,4.11087386417331,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,"both"
"49","Falco columbarius","Falco columbarius","Falco columbarius","Falconidae (Falcons and Caracaras)","Merlin",1.83278533113889,"Falco columbarius",0.512835804,"Falco columbarius","U","Falconidae","(Falcons and Caracaras)","Yes","tidal flats and marshes (hunts shorebirds)",188.5,5.23909800688807,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,"both"
"50","Falco peregrinus","Falco peregrinus","Falco peregrinus","Falconidae (Falcons and Caracaras)","Peregrine Falcon",1.97483294672222,NA,NA,"Falco peregrinus","U","Falconidae","(Falcons and Caracaras)","Yes","coastal beaches",760,6.63331843328038,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,"both"
"51","Phaethon lepturus","Phaethon lepturus","Phaethon lepturus","Phaethontidae (Tropicbirds)","White-tailed Tropicbird",0.743292194,NA,NA,NA,NA,"Phaethontidae","(Tropicbirds)","Yes","frequents coast",328,5.79301360838414,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,"both"
"52","Phaethon aethereus","Phaethon aethereus","Phaethon aethereus","Phaethontidae (Tropicbirds)","Red-billed Tropicbird",0.781328745,NA,NA,NA,NA,"Phaethontidae","(Tropicbirds)","Yes","small, remote oceanic islands - rarely on coasts. Mainly pelagic ",750,6.62007320653036,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,"both"
"53","Phaethon rubricauda","Phaethon rubricauda","Phaethon rubricauda","Phaethontidae (Tropicbirds)","Red-tailed Tropicbird",0.752956746,NA,NA,NA,NA,"Phaethontidae","(Tropicbirds)","Yes","breeds on remote islands",671.9,6.5101095199261,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,"both"
"54","Erithacus rubecula","Erithacus rubecula","Erithacus rubecula","Muscicapidae (Old World Flycatchers)","European Robin",1.99613100536,NA,NA,NA,NA,"Muscicapidae","(Old World Flycatchers)","Yes","coastal areas",17.7,2.87356463957978,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,"both"
"55","Anas gibberifrons","Anas gibberifrons","Anas gibberifrons","Anatidae (Ducks, Geese, and Waterfowl)","Sunda Teal",2.869584218,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes","",488.1,6.1905203028931,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,"both"
"56","Sarkidiornis melanotos","Sarkidiornis melanotos","Sarkidiornis melanotos","Anatidae (Ducks, Geese, and Waterfowl)","Knob-billed Duck",1.32574469666667,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","Yes","",2610,7.86710550031674,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,"both"
"57","Falco tinnunculus","Falco tinnunculus","Falco tinnunculus","Falconidae (Falcons and Caracaras)","Eurasian Kestrel",1.67564994535897,NA,NA,"Falco tinnunculus","U","Falconidae","(Falcons and Caracaras)","Yes","winter in coastal areas",183.2,5.21057845224003,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,"both"
